授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
コンピュータグラフィックス,脇田 航,准教授,2,選択,２年,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28430501.html
コンピュータグラフィックスⅠ,馬場 雅志,講師,2,選択,2年次,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26460201.html
コンピュータグラフィックスⅠ,馬場 雅志,講師,2,選択,2年次,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27430801.html
コンピュータグラフィックスⅡ,宮﨑 大輔,准教授,2,選択,3年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27450101.html
コンピュータグラフィックス特論,馬場 雅志,講師,2,選択,１、２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_67411601.html
コンピュータシステム,川端 英之,准教授,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26431401.html
コンピュータ・アート,吉田 幸弘,教授,2,選択,主に国際学部及び芸術学部美術学科の2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00110501.html
コンピュータ基礎,その他 教員,助教,2,必須,１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_20410799.html
システムレベル設計検証特論,永山 忍,教授,2,選択,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_66412401.html
システム工学実験Ⅰ,桑田 精一,准教授,3,必須,３年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28431801.html
システム工学実験Ⅰ,桑田 精一,准教授,1.5,必須,３年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28460501.html
システム工学実験Ⅱ,桑田 精一,准教授,3,必須,３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28432501.html
システム工学実験Ⅱ,桑田 精一,准教授,1.5,必須,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28460601.html
